n_processors,N,nthread,average_elapsed_time
1,100,1,0.00420036
1,100,2,0.00219837
1,100,4,0.00114176
1,100,8,0.000858754
1,100,16,0.000592202
1,100,32,0.000466812
1,100,64,0.00658037
1,100,128,0.0010002
2,100,1,0.00237659
2,100,2,0.0012142
2,100,4,0.00080769
2,100,8,0.000526335
2,100,16,0.000447378
2,100,32,0.00654595
2,100,64,0.0126912
2,100,128,0.000936052
4,100,1,0.00144638
4,100,2,0.000867471
4,100,4,0.000769066
4,100,8,0.000648817
4,100,16,0.00043943
4,100,32,0.00669111
4,100,64,0.0191655
4,100,128,0.00118902
